Frequency (GHz);LG (mV);HG (mV)
100.0;0.488341;46.758637
100.0;-1.587108;46.270296
100.0;-1.709193;36.625564
100.0;1.342937;47.613233
100.0;0.0;44.805273
100.0;-2.563789;52.496642
100.0;-0.976682;31.497985
100.0;0.24417;33.451349
100.0;-1.831278;23.684531
100.0;2.441704;33.695519
100.0;0.366256;21.975338
100.0;0.976682;39.79978
100.0;0.366256;21.364912
100.0;0.0;51.397875
100.0;0.24417;27.102917
100.0;1.953363;43.706506
100.0;2.075449;47.735319
100.0;0.976682;36.015138
100.0;-1.098767;48.589915
100.0;0.488341;22.219509
100.0;2.441704;39.311439
100.0;-0.24417;25.149554
100.0;1.709193;38.090587
100.0;-0.854596;9.522647
100.0;-2.685875;48.223659
100.0;-0.488341;22.585765
100.0;-0.24417;46.392381
100.0;-1.342937;31.131729
100.0;0.488341;44.805273
100.0;1.465023;45.415699
100.0;0.0;33.207178
100.0;0.854596;49.932852
100.0;-1.098767;32.840922
100.0;-1.587108;44.439018
100.0;-0.366256;19.777805
100.0;-1.465023;41.997313
100.0;-1.831278;23.562446
100.0;1.220852;33.451349
100.0;-1.587108;19.289464
100.0;-0.366256;46.514466
100.0;-0.24417;24.783298
100.0;-1.098767;49.932852
100.0;0.488341;58.967158
100.0;2.441704;43.706506
100.0;0.122085;40.898547
100.0;-1.220852;36.015138
100.0;1.465023;29.178366
100.0;0.0;22.829935
100.0;1.342937;46.636552
100.0;-0.976682;22.097424
100.0;0.732511;43.462336
100.0;0.366256;24.050787
100.0;0.366256;38.090587
100.0;0.122085;27.347088
100.0;-0.732511;46.392381
100.0;-1.465023;24.905384
100.0;0.122085;45.415699
100.0;0.610426;43.09608
100.0;0.24417;39.189354
100.0;-1.831278;48.956171
100.0;0.610426;35.282627
100.0;-1.831278;41.386887
100.0;0.854596;27.102917
100.0;0.0;44.927359
100.0;-0.976682;17.3361
100.0;-0.610426;44.072762
100.0;0.122085;19.167379
100.0;0.366256;47.613233
100.0;1.342937;25.149554
100.0;-1.098767;36.869735
