Sample;Frequency (GHz);LG (mV);HG (mV);Thickness (mm)
H1;100;76.181176;0.854564;0.07
H1;100;101.452819;-1.0988;0.07
H1;100;77.035771;-0.610447;0.07
H1;100;49.322428;-0.244164;0.07
H1;100;111.830059;-0.244188;0.07
H1;100;9.034306;0.488353;0.07
H1;100;55.304602;-0.488329;0.07
H1;100;81.797095;0.854588;0.07
H1;100;36.01514;0.366282;0.07
H1;100;44.683188;-1.342869;0.07
H1;100;72.884874;0.610352;0.07
H1;100;94.005617;0.122094;0.07
H1;100;17.3361;-0.732517;0.07
H1;100;78.256623;-1.098728;0.07
H1;100;61.408864;-4.77E-05;0.07
H1;100;88.145527;-0.244164;0.07
H1;100;65.55976;-4.77E-05;0.07
H1;100;45.781955;-0.610447;0.07
H1;100;60.798436;0.122094;0.07
H1;100;95.348553;-1.22087;0.07
H1;100;78.86705;0.122023;0.07
H1;100;40.288121;0.366235;0.07
H1;100;47.979492;1.220822;0.07
H1;100;84.605055;0.366235;0.07
H1;100;10.865584;0.85454;0.07
H1;100;58.478817;-0.488329;0.07
H1;100;51.642047;-2.38E-05;0.07
H1;100;92.052254;-0.244141;0.07
H1;100;102.06324;0.366282;0.07
H1;100;77.890368;-0.244164;0.07
H1;100;25.637896;0.366211;0.07
H1;100;80.087902;0;0.07
H1;100;68.733977;1.342893;0.07
H1;100;87.290929;-0.976706;0.07
H1;100;41.631058;-0.122046;0.07
H1;100;47.613235;-0.488281;0.07
H1;100;45.659871;-0.732517;0.07
H1;100;32.352582;0.854588;0.07
H1;100;81.797096;-0.244164;0.07
H1;100;55.182518;0.244141;0.07
H1;100;42.729826;0.732493;0.07
H1;100;27.469173;-0.976729;0.07
H1;100;48.712;-0.244188;0.07
H1;100;79.721648;-0.488329;0.07
H1;100;52.008301;-0.854588;0.07
H1;100;60.310097;-0.366282;0.07
H1;100;96.813577;0;0.07
H1;100;44.439019;0.610423;0.07
H1;100;60.432182;0.610375;0.07
H1;100;51.153705;-0.366211;0.07
H1;100;35.770968;0.976682;0.07
H1;100;92.418508;-0.976682;0.07
H1;100;22.95202;0.976682;0.07
H1;100;77.646197;4.77E-05;0.07
H1;100;67.513126;0.12207;0.07
H1;100;83.506289;1.709175;0.07
H1;100;50.054939;-0.854564;0.07
H1;100;63.728483;1.220846;0.07
H1;100;70.68734;1.220822;0.07
H1;100;42.241487;-0.122118;0.07
H1;100;53.351238;0.244164;0.07
H1;100;41.753145;0.366282;0.07
H1;100;64.460993;-0.244141;0.07
H1;100;8.057624;-1.587129;0.07
H1;100;49.688683;-1.098776;0.07
H1;100;58.967158;0.244236;0.07
H1;100;42.973995;0.610447;0.07
H1;100;60.432181;0.244141;0.07
H1;100;44.194847;0.610399;0.07
H1;100;66.048102;0.366259;0.07
H1;100;79.355389;-1.098728;0.07
H1;100;22.829935;0.488353;0.07
H1;100;49.810767;0.732517;0.07
H1;100;68.978147;2.38E-05;0.07
H1;100;81.919181;0.85454;0.07
H1;100;92.052253;0.854588;0.07
H1;100;114.39385;0;0.07
H1;100;36.869735;-1.220846;0.07
H1;100;77.646197;0.244212;0.07
H1;100;11.842266;-0.610423;0.07
H1;100;64.827248;1.342916;0.07
H1;100;54.694177;0.610399;0.07
H1;100;44.805273;0.610447;0.07
H1;100;95.836897;0.610399;0.07
H1;100;93.028934;-0.366259;0.07
H1;100;64.460993;0.976658;0.07
H1;100;45.049445;0.122094;0.07
H1;100;61.897203;0.488329;0.07
H1;100;94.860211;-2.19748;0.07
H1;100;95.226468;-1.098752;0.07
H1;100;101.086558;-0.12207;0.07
H1;100;39.433524;0;0.07
H1;100;49.200341;0.854635;0.07
H1;100;70.565255;-0.732493;0.07
H1;100;41.631058;-1.953387;0.07
H1;100;78.256625;0.488329;0.07
H1;100;79.599562;1.098752;0.07
H1;100;56.525455;-0.366235;0.07
H1;100;66.170186;0.122046;0.07
H1;100;33.939691;1.587129;0.07
H1;100;91.563913;-1.587105;0.07
H1;100;59.089245;-0.85454;0.07
H1;100;52.374558;-0.854611;0.07
H1;100;99.743621;0.488329;0.07
H1;100;86.802588;-0.122094;0.07
H1;100;39.433526;0.366235;0.07
H1;100;63.972653;0.244188;0.07
H1;100;24.661213;-1.220775;0.07
H1;100;71.908194;0.244212;0.07
H1;100;47.124892;1.709151;0.07
H1;100;64.58308;0.244117;0.07
H1;100;93.151021;-0.610399;0.07
H1;100;67.146868;-2.38E-05;0.07
H1;100;68.978147;0.122094;0.07
H1;100;88.633868;0.854564;0.07
H1;100;48.712002;0.976634;0.07
H1;100;12.941033;-0.122094;0.07
H1;100;113.295081;0.366306;0.07
H1;100;71.786106;0.244164;0.07
H1;100;60.432182;0.488305;0.07
H1;100;30.643389;0.488353;0.07
H1;100;83.017948;0.244164;0.07
H1;100;51.51996;0.610399;0.07
H1;100;34.42803;-1.0988;0.07
H1;100;58.112562;0.244164;0.07
H1;100;48.101574;0.366259;0.07
H1;100;59.821755;0;0.07
H1;100;68.367723;0.976682;0.07
H1;100;23.196191;0.244117;0.07
H1;100;51.764131;1.098704;0.07
H1;100;81.552924;0.854588;0.07
H1;100;63.240142;4.77E-05;0.07
H1;100;25.149556;-0.854611;0.07
H1;100;49.322426;-1.098752;0.07
H1;100;44.927359;0.610447;0.07
H1;100;61.164692;-0.976682;0.07
H1;100;39.79978;0.12207;0.07
H1;100;51.031621;-0.366259;0.07
H1;100;51.642045;1.220822;0.07
H1;100;28.32377;0.732493;0.07
H1;100;33.207178;-0.976729;0.07
H1;100;73.006959;2.38E-05;0.07
H1;100;92.174341;0.854564;0.07
H1;100;56.769624;4.77E-05;0.07
H1;100;84.971312;0.73247;0.07
H1;100;55.182517;-0.244141;0.07
H1;100;46.758637;0.244164;0.07
H1;100;83.262117;0.121999;0.07
H1;100;21.486998;0.610423;0.07
H1;100;70.565255;-1.220894;0.07
H1;100;71.541935;-0.732517;0.07
H1;100;65.193506;0.244164;0.07
H1;100;95.47064;-4.77E-05;0.07
H1;100;77.157855;-0.854588;0.07
H1;100;62.751801;-0.366235;0.07
H1;100;71.41985;-0.488329;0.07
H1;100;50.054939;-0.732493;0.07
H1;100;64.216824;-0.488353;0.07
H1;100;70.198998;-0.488305;0.07
H1;100;15.626907;0.854588;0.07
H1;100;17.09193;-0.488305;0.07
H1;100;62.141375;-0.976634;0.07
H1;100;51.886216;1.465011;0.07
H1;100;55.426687;0.610375;0.07
H1;100;54.572092;-0.122046;0.07
H1;100;63.606398;-0.73247;0.07
H1;100;26.614577;0;0.07
H1;100;77.768283;0.73247;0.07
H1;100;84.849223;-0.488305;0.07
H1;100;31.009644;0.244212;0.07
